,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
280,5.6,8.552,0.09388,0.0,1.133
281,5.62,8.533,0.09748,0.0,1.137
282,5.64,8.64,0.10869,0.0,1.294
283,5.66,8.637,0.10501,0.0,1.255
284,5.68,9.035,0.08996,0.0,0.979
285,5.7,8.269,0.08504,0.0,0.958
286,5.72,9.177,0.07742,0.0,0.896
287,5.74,8.7,0.05826,0.0,0.642
288,5.76,8.532,0.07947,0.0,0.929
289,5.78,8.12,0.09438,0.0,1.134
290,5.8,8.538,0.12111,0.0,1.467
291,5.82,9.202,0.17627,0.0,1.943
292,5.84,9.94,0.20276,0.0,2.091
293,5.86,9.938,0.17277,0.0,1.778
294,5.88,9.016,0.16121,0.0,1.703
295,5.9,8.689,0.15381,0.0,1.69
296,5.92,7.179,0.17446,0.0,2.21
297,5.94,16.14,0.20175,0.0,1.876
298,5.96,20.893,0.22905,0.0,1.541
299,5.98,25.646,0.21265,0.0,1.378
300,6.0,31.29,0.20335,0.0,0.708
301,6.02,32.652,0.22616,0.0,0.683
302,6.04,35.734,0.28458,0.0,0.841
303,6.06,38.272,0.38681,0.0,1.143
304,6.08,40.029,0.48167,0.0,1.209
305,6.1,42.266,0.59741,0.0,1.428
306,6.12,42.398,0.69416,0.0,1.639
307,6.14,41.41,0.77222,0.002,1.843
308,6.16,38.771,0.83071,0.0,2.071
309,6.18,35.518,0.80839,0.0,2.183
310,6.2,31.74,0.72819,0.0,2.193
311,6.22,27.319,0.6451,0.0,2.177
312,6.24,23.706,0.63512,0.0,2.545
313,6.26,20.173,0.63982,0.0,2.968
314,6.28,16.618,0.5455,0.0,2.926
315,6.3,14.535,0.42551,0.0,2.677
316,6.32,12.593,0.33133,0.0,2.514
317,6.34,10.291,0.29386,0.0,2.623
318,6.36,9.056,0.2763,0.0,3.135
319,6.38,10.833,0.27979,0.0,2.735
320,6.4,12.17,0.31963,0.0,3.084
321,6.42,13.507,0.34436,0.0,3.322
322,6.44,13.243,0.38199,0.0,2.865
323,6.46,12.588,0.41064,0.0,3.172
324,6.48,11.801,0.43917,0.0,3.648
325,6.5,10.669,0.44764,0.0,4.145
326,6.52,9.412,0.40209,0.0,4.238
327,6.54,8.738,0.35301,0.0,4.016
328,6.56,8.136,0.29961,0.0,3.538
329,6.58,7.587,0.25482,0.0,3.343
330,6.6,7.423,0.21024,0.0,2.81
331,6.62,7.092,0.19605,0.0,2.717
332,6.64,6.31,0.17777,0.0,2.752
333,6.66,5.505,0.16356,0.0,2.895
334,6.68,4.629,0.14103,0.0,2.759
335,6.7,3.828,0.12214,0.0,3.174
336,6.72,3.612,0.1007,0.0,2.781
337,6.74,3.611,0.09335,0.0,2.597
338,6.76,3.652,0.08476,0.0,2.326
339,6.78,3.767,0.08846,0.0,2.391
340,6.8,3.802,0.0937,0.0,2.455
341,6.82,3.717,0.09785,0.0,2.598
342,6.84,3.648,0.10128,0.0,2.768
343,6.86,3.654,0.10885,0.0,2.983
344,6.88,3.708,0.11702,0.0,3.21
345,6.9,3.645,0.1252,0.0,3.438
346,6.92,3.579,0.12489,0.0,3.476
347,6.94,3.598,0.1282,0.0,3.592
348,6.96,3.912,0.13187,0.0,3.568
349,6.98,4.306,0.1397,0.0,3.78
350,7.0,4.699,0.15324,0.0,4.146
351,7.02,5.361,0.1662,0.0,3.216
352,7.04,6.829,0.18278,0.0,2.906
353,7.06,9.059,0.20593,0.0,2.524
354,7.08,11.616,0.24643,0.0,2.285
355,7.1,14.276,0.28146,0.0,2.04
356,7.12,16.307,0.3456,0.0,2.182
357,7.14,16.761,0.41974,0.0,2.504
358,7.16,16.477,0.4843,0.0,2.919
359,7.18,15.818,0.51962,0.0,3.217
360,7.2,14.828,0.54105,0.0,3.582
361,7.22,13.001,0.54309,0.0,4.017
362,7.24,11.7,0.54703,0.0,4.565
363,7.26,11.773,0.54738,0.0,4.801
364,7.28,13.706,0.516,0.0,3.926
365,7.3,15.563,0.47848,0.0,3.199
366,7.32,16.423,0.45596,0.0,2.803
367,7.34,16.098,0.43153,0.0,2.64
368,7.36,14.773,0.3986,0.0,2.57
369,7.38,13.508,0.34916,0.0,2.468
370,7.4,12.317,0.31561,0.0,2.433
371,7.42,11.168,0.29271,0.0,2.572
372,7.44,10.123,0.27468,0.0,2.621
373,7.46,9.103,0.26408,0.0,2.815
374,7.48,7.9,0.24926,0.0,2.908
375,7.5,6.698,0.23439,0.0,3.204
376,7.52,5.492,0.20751,0.0,3.445
